sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink,slope
4554,6/13/2009 11:38,13,53.03964484,8.814272583,46,24,16,51867741,U,157.1040696,0.058211246,U
4554,6/13/2009 11:38,13,53.04003543,8.814451117,45,36,16,572252438,U,169.5291691,0.059670405,U
4554,6/13/2009 11:38,13,53.04039485,8.814609954,44,0,360,572252438,T,139.282236,0.057123894,-0.027414846
4554,6/13/2009 11:38,13,53.04073482,8.81474968,44,0,360,572252438,U,139.282236,0.040440605,0
4554,6/13/2009 11:38,13,53.04112416,8.814950427,48,36,21,572252438,T,119.8683946,0.060128139,0.02741537
4554,6/13/2009 11:38,13,53.04157435,8.815175565,46,32,19,572252439,U,30.83478116,0.036611153,U
4554,6/13/2009 11:38,13,53.04205002,8.815543028,43,32,42,572252439,F,47.54916885,0.087826894,-0.027415228
4554,6/13/2009 11:39,13,53.04254682,8.815847291,44,43,18,51867666,U,56.56857554,0.096399753,U
4554,6/13/2009 11:39,13,53.04323883,8.816117439,44,52,16,554728246,U,266.7447825,0.007176884,U
4554,6/13/2009 11:39,13,53.04393578,8.816437963,47,55,17,554728246,T,229.5794992,0.024973013,0.0274151
4554,6/13/2009 11:39,13,53.04459452,8.816751698,48,50,13,554728246,T,224.5917671,0.044488035,0.027414238
4554,6/13/2009 11:39,13,53.0452297,8.817027798,46,47,16,554728246,F,240.2272942,0.046906733,-0.027414931
4554,6/13/2009 11:39,13,53.04579682,8.817367684,43,40,21,586525536,U,72.39398954,0.070540712,U
4554,6/13/2009 11:39,13,53.04615137,8.81768167,41,26,22,586525536,U,72.39398954,0.016671278,-0.027415178
4554,6/13/2009 11:39,13,53.04629127,8.817773787,42,0,31,586525536,T,6.756190855,0.026627774,0.027415276
4554,6/13/2009 11:39,13,53.04629604,8.817774039,44,0,341,586525536,F,7.126614491,0.029444715,0.027415563
4554,6/13/2009 11:39,13,53.04630049,8.817774123,45,0,197,586525536,F,7.463025445,0.032189833,0.027415559
4554,6/13/2009 11:39,13,53.04630233,8.817774542,45,0,150,586525536,F,7.62542792,0.033026946,0
4554,6/13/2009 11:39,13,53.04640367,8.817899683,46,24,30,586525536,F,22.75914864,4.83E-06,0.027415323
4554,6/13/2009 11:40,13,53.04678563,8.818246694,45,34,26,51867668,U,5.362052211,0.025069082,U
